ID,NAME,REGION,Name (українська-ukrainian),Регіон (українська-ukrainian),Cheat Engine Dropdown 1,Cheat Engine Dropdown 2,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
1048362950,Cathedral of Dragon Communion,Caelid,Собор Причастя дракона,Кейлід,1048362950:Cathedral of Dragon Communion (Caelid),1048362950:Caelid - Cathedral of Dragon Communion,,,,,,,
1048372950,Caelid Highway South,Caelid,Південний тракт Кейліда,Кейлід,1048372950:Caelid Highway South (Caelid),1048372950:Caelid - Caelid Highway South,,,,,,,
1048382950,Aeonia Swamp Shore,Swamp of Aeonia,Берег болота Еонії,Болото Еонії,1048382950:Aeonia Swamp Shore (Swamp of Aeonia),1048382950:Swamp of Aeonia - Aeonia Swamp Shore,,,,,,,
1048382951,Astray from Caelid Highway North,Swamp of Aeonia,На узбіччі північного тракту Кейлід,Болото Еонії,1048382951:Astray from Caelid Highway North (Swamp of Aeonia),1048382951:Swamp of Aeonia - Astray from Caelid Highway North,,,,,,,
1048392950,Smoldering Wall,Caelid,Напівзотліла стіна,Кейлід,1048392950:Smoldering Wall (Caelid),1048392950:Caelid - Smoldering Wall,,,,,,,
1048402950,Deep Siofra Well,Caelid,Глибокий колодязь Сіофри,Кейлід,1048402950:Deep Siofra Well (Caelid),1048402950:Caelid - Deep Siofra Well,,,,,,,
1048402951,Dragonbarrow West,Greyoll's Dragonbarrow,Західна частина драконячого кургану,Драконячий курган Ґрейолли,1048402951:Dragonbarrow West (Greyoll's Dragonbarrow),1048402951:Greyoll's Dragonbarrow - Dragonbarrow West,,,,,,,
1048412950,Isolated Merchant's Shack,Caelid,Хатина торговця-самітника,Кейлід,1048412950:Isolated Merchant's Shack (Caelid),1048412950:Caelid - Isolated Merchant's Shack,,,,,,,
1048572950,"Ordina, Liturgical Town",Consecrated Snowfield,"Ордина, літургійне місто",Священна снігова долина,"1048572950:Ordina, Liturgical Town (Consecrated Snowfield)","1048572950:Consecrated Snowfield - Ordina, Liturgical Town",,,,,,,
1049372950,Southern Aeonia Swamp Bank,Caelid,Південний берег болота Еонії,Кейлід,1049372950:Southern Aeonia Swamp Bank (Caelid),1049372950:Caelid - Southern Aeonia Swamp Bank,,,,,,,
1049382950,Heart of Aeonia,Swamp of Aeonia,Серце Еонії,Болото Еонії,1049382950:Heart of Aeonia (Swamp of Aeonia),1049382950:Swamp of Aeonia - Heart of Aeonia,,,,,,,
1049382951,Inner Aeonia,Swamp of Aeonia,Внутрішня частина Еонії,Болото Еонії,1049382951:Inner Aeonia (Swamp of Aeonia),1049382951:Swamp of Aeonia - Inner Aeonia,,,,,,,
1049392950,Sellia Backstreets,Caelid,Закутки Селлії,Кейлід,1049392950:Sellia Backstreets (Caelid),1049392950:Caelid - Sellia Backstreets,,,,,,,
1049392951,Chair-Crypt of Sellia,Caelid,Трон Селлії,Кейлід,1049392951:Chair-Crypt of Sellia (Caelid),1049392951:Caelid - Chair-Crypt of Sellia,,,,,,,
1049392952,Sellia Under-Stair,Caelid,Сходи до Селлії,Кейлід,1049392952:Sellia Under-Stair (Caelid),1049392952:Caelid - Sellia Under-Stair,,,,,,,
1049532950,Zamor Ruins,Mountaintops of the Giants,Руїни Замора,Гірські вершини велетнів,1049532950:Zamor Ruins (Mountaintops of the Giants),1049532950:Mountaintops of the Giants - Zamor Ruins,,,,,,,
1049532951,Grand Lift of Rold,Forbidden Lands,Великий підйомник Рольда,Заборонені землі,1049532951:Grand Lift of Rold (Forbidden Lands),1049532951:Forbidden Lands - Grand Lift of Rold,,,,,,,
1049542950,Consecrated Snowfield,Consecrated Snowfield,Священна снігова долина,Священна снігова долина,1049542950:Consecrated Snowfield (Cosecrated Snowfield),1049542950:Cosecrated Snowfield - Consecrated Snowfield,,,,,,,
1049552950,Inner Consecrated Snowfield,Consecrated Snowfield,Внутрішня частина священної снігової долини,Священна снігова долина,1049552950:Inner Consecrated Snowfield (Consecrated Snowfield),1049552950:Consecrated Snowfield - Inner Consecrated Snowfield,,,,,,,
1050362950,Impassable Greatbridge,Caelid,Непрохідний великий міст,Кейлід,1050362950:Impassable Greatbridge (Caelid),1050362950:Caelid - Impassable Greatbridge,,,,,,,
1050382950,Church of the Plague,Caelid,Церква чуми,Кейлід,1050382950:Church of the Plague (Caelid),1050382950:Caelid - Church of the Plague,,,,,,,
1050402950,Dragonbarrow Fork,Greyoll's Dragonbarrow,Роздоріжжя драконячого кургану,Драконячий курган Ґрейолли,1050402950:Dragonbarrow Fork (Greyoll's Dragonbarrow),1050402950:Greyoll's Dragonbarrow - Dragonbarrow Fork,,,,,,,
1051362950,Redmane Castle Plaza,Caelid,Площа замку Рудогривого,Кейлід,1051362950:Redmane Castle Plaza (Caelid),1051362950:Caelid - Redmane Castle Plaza,,,,,,,
1051362951,Chamber Outside the Plaza,Caelid,Кімната перед площею,Кейлід,1051362951:Chamber Outside the Plaza (Caelid),1051362951:Caelid - Chamber Outside the Plaza,,,,,,,
1051392950,Fort Faroth,Greyoll's Dragonbarrow,Форт Фарот,Драконячий курган Ґрейолли,1051392950:Fort Faroth (Greyoll's Dragonbarrow),1051392950:Greyoll's Dragonbarrow - Fort Faroth,,,,,,,
1051432950,Bestial Sanctum,Greyoll's Dragonbarrow,Святилище звіра,Драконячий курган Ґрейолли,1051432950:Bestial Sanctum (Greyoll's Dragonbarrow),1051432950:Greyoll's Dragonbarrow - Bestial Sanctum,,,,,,,
1051532950,Church of Repose,Flame Peak,Церква перепочинку,Полум'яна вершина,1051532950:Church of Repose (Flame Peak),1051532950:Flame Peak - Church of Repose,,,,,,,
1051562950,Ancient Snow Valley Ruins,Mountaintops of the Giants,Прадавні руїни снігової долини,Гірські вершини велетнів,1051562950:Ancient Snow Valley Ruins (Mountaintops of the Giants),1051562950:Mountaintops of the Giants - Ancient Snow Valley Ruins,,,,,,,
1051572950,Snow Valley Ruins Overlook,Mountaintops of the Giants,Оглядове місце руїн снігової долини,Гірські вершини велетнів,1051572950:Snow Valley Ruins Overlook (Mountaintops of the Giants),1051572950:Mountaintops of the Giants - Snow Valley Ruins Overlook,,,,,,,
1051572951,Castle Sol Main Gate,Mountaintops of the Giants,Головні ворота замку Сол,Гірські вершини велетнів,1051572951:Castle Sol Main Gate (Mountaintops of the Giants),1051572951:Mountaintops of the Giants - Castle Sol Main Gate,,,,,,,
1051572952,Church of the Eclipse,Mountaintops of the Giants,Церква затемнення,Гірські вершини велетнів,1051572952:Church of the Eclipse (Mountaintops of the Giants),1051572952:Mountaintops of the Giants - Church of the Eclipse,,,,,,,
1051572953,Castle Sol Rooftop,Mountaintops of the Giants,Дах замку Сол,Гірські вершини велетнів,1051572953:Castle Sol Rooftop (Mountaintops of the Giants),1051572953:Mountaintops of the Giants - Castle Sol Rooftop,,,,,,,
1052382950,Starscourge Radahn,Caelid,Бич зірок Радан,Кейлід,1052382950:Starscourge Radahn (Caelid),1052382950:Caelid - Starscourge Radahn,,,,,,,
1052412950,Lenne's Rise,Greyoll's Dragonbarrow,Вежа Ленне,Драконячий курган Ґрейолли,1052412950:Lenne's Rise (Greyoll's Dragonbarrow),1052412950:Greyoll's Dragonbarrow - Lenne's Rise,,,,,,,
1052422950,Farum Greatbridge,Greyoll's Dragonbarrow,Великий міст Фарум,Драконячий курган Ґрейолли,1052422950:Farum Greatbridge (Greyoll's Dragonbarrow),1052422950:Greyoll's Dragonbarrow - Farum Greatbridge,,,,,,,
1052532950,Foot of the Forge,Flame Peak,Підніжжя кузні,Полум'яна вершина,1052532950:Foot of the Forge (Flame Peak),1052532950:Flame Peak - Foot of the Forge,,,,,,,
1052542950,Giant's Gravepost,Flame Peak,Могильник велетнів,Полум'яна вершина,1052542950:Giant's Gravepost (Flame Peak),1052542950:Flame Peak - Giant's Gravepost,,,,,,,
1052562950,Whiteridge Road,Mountaintops of the Giants,Дорога білого хребта,Гірські вершини велетнів,1052562950:Whiteridge Road (Mountaintops of the Giants),1052562950:Mountaintops of the Giants - Whiteridge Road,,,,,,,
1052572950,Freezing Lake,Mountaintops of the Giants,Замерзле озеро,Гірські вершини велетнів,1052572950:Freezing Lake (Mountaintops of the Giants),1052572950:Mountaintops of the Giants - Freezing Lake,,,,,,,
1053522950,Fire Giant,Flame Peak,Вогняний велет,Полум'яна вершина,1053522950:Fire Giant (Flame Peak),1053522950:Flame Peak - Fire Giant,,,,,,,
1054532950,Forge of the Giants,Flame Peak,Кузня велетнів,Полум'яна вершина,1054532950:Forge of the Giants (Flame Peak),1054532950:Flame Peak - Forge of the Giants,,,,,,,
1054552950,First Church of Marika,Mountaintops of the Giants,Перша церква Маріки,Гірські вершини велетнів,1054552950:First Church of Marika (Mountaintops of the Giants),1054552950:Mountaintops of the Giants - First Church of Marika,,,,,,,
